,Compound,Date,Negative,Neutral,Positive,Tweets Ago,Username
0,0.0,Mon Sep 17 17:04:05 +0000 2018,1.0,0.0,0.0,1,BBC
1,0.6996,Mon Sep 17 16:04:02 +0000 2018,0.674,0.0,0.326,2,BBC
2,0.0,Mon Sep 17 15:03:04 +0000 2018,1.0,0.0,0.0,3,BBC
3,-0.5574,Mon Sep 17 14:03:05 +0000 2018,0.854,0.146,0.0,4,BBC
4,0.4404,Mon Sep 17 13:04:04 +0000 2018,0.791,0.0,0.209,5,BBC
5,0.7184,Mon Sep 17 12:02:06 +0000 2018,0.708,0.0,0.292,6,BBC
6,0.0,Mon Sep 17 11:27:23 +0000 2018,1.0,0.0,0.0,7,BBC
7,0.0,Mon Sep 17 11:03:04 +0000 2018,1.0,0.0,0.0,8,BBC
8,0.0,Mon Sep 17 10:03:05 +0000 2018,1.0,0.0,0.0,9,BBC
9,0.0,Mon Sep 17 09:04:06 +0000 2018,1.0,0.0,0.0,10,BBC
10,0.5994,Mon Sep 17 08:02:03 +0000 2018,0.755,0.0,0.245,11,BBC
11,0.5719,Mon Sep 17 07:31:08 +0000 2018,0.802,0.0,0.198,12,BBC
12,0.0,Mon Sep 17 07:03:05 +0000 2018,1.0,0.0,0.0,13,BBC
13,0.4767,Sun Sep 16 19:17:07 +0000 2018,0.838,0.0,0.162,14,BBC
14,0.0,Sun Sep 16 17:04:06 +0000 2018,1.0,0.0,0.0,15,BBC
15,0.0,Sun Sep 16 16:02:03 +0000 2018,1.0,0.0,0.0,16,BBC
16,0.0,Sun Sep 16 15:03:04 +0000 2018,1.0,0.0,0.0,17,BBC
17,-0.1531,Sun Sep 16 14:04:05 +0000 2018,0.676,0.176,0.149,18,BBC
18,0.0,Sun Sep 16 14:01:39 +0000 2018,1.0,0.0,0.0,19,BBC
19,0.5983,Sun Sep 16 13:02:01 +0000 2018,0.777,0.0,0.223,20,BBC
20,0.0,Mon Sep 17 17:04:05 +0000 2018,1.0,0.0,0.0,21,BBC
21,0.6996,Mon Sep 17 16:04:02 +0000 2018,0.674,0.0,0.326,22,BBC
22,0.0,Mon Sep 17 15:03:04 +0000 2018,1.0,0.0,0.0,23,BBC
23,-0.5574,Mon Sep 17 14:03:05 +0000 2018,0.854,0.146,0.0,24,BBC
24,0.4404,Mon Sep 17 13:04:04 +0000 2018,0.791,0.0,0.209,25,BBC
25,0.7184,Mon Sep 17 12:02:06 +0000 2018,0.708,0.0,0.292,26,BBC
26,0.0,Mon Sep 17 11:27:23 +0000 2018,1.0,0.0,0.0,27,BBC
27,0.0,Mon Sep 17 11:03:04 +0000 2018,1.0,0.0,0.0,28,BBC
28,0.0,Mon Sep 17 10:03:05 +0000 2018,1.0,0.0,0.0,29,BBC
29,0.0,Mon Sep 17 09:04:06 +0000 2018,1.0,0.0,0.0,30,BBC
30,0.5994,Mon Sep 17 08:02:03 +0000 2018,0.755,0.0,0.245,31,BBC
31,0.5719,Mon Sep 17 07:31:08 +0000 2018,0.802,0.0,0.198,32,BBC
32,0.0,Mon Sep 17 07:03:05 +0000 2018,1.0,0.0,0.0,33,BBC
33,0.4767,Sun Sep 16 19:17:07 +0000 2018,0.838,0.0,0.162,34,BBC
34,0.0,Sun Sep 16 17:04:06 +0000 2018,1.0,0.0,0.0,35,BBC
35,0.0,Sun Sep 16 16:02:03 +0000 2018,1.0,0.0,0.0,36,BBC
36,0.0,Sun Sep 16 15:03:04 +0000 2018,1.0,0.0,0.0,37,BBC
37,-0.1531,Sun Sep 16 14:04:05 +0000 2018,0.676,0.176,0.149,38,BBC
38,0.0,Sun Sep 16 14:01:39 +0000 2018,1.0,0.0,0.0,39,BBC
39,0.5983,Sun Sep 16 13:02:01 +0000 2018,0.777,0.0,0.223,40,BBC
40,-0.7717,Sun Sep 16 11:02:07 +0000 2018,0.717,0.283,0.0,41,BBC
41,0.5574,Sun Sep 16 10:03:03 +0000 2018,0.66,0.0,0.34,42,BBC
42,0.6588,Sun Sep 16 09:50:43 +0000 2018,0.747,0.0,0.253,43,BBC
43,0.4588,Sun Sep 16 08:37:46 +0000 2018,0.875,0.0,0.125,44,BBC
44,0.0,Sun Sep 16 08:03:03 +0000 2018,1.0,0.0,0.0,45,BBC
45,-0.25,Sun Sep 16 07:32:07 +0000 2018,0.484,0.298,0.218,46,BBC
46,0.6249,Sun Sep 16 07:02:03 +0000 2018,0.63,0.104,0.266,47,BBC
47,0.4019,Sat Sep 15 21:03:05 +0000 2018,0.886,0.0,0.114,48,BBC
48,-0.91,Sat Sep 15 19:14:04 +0000 2018,0.511,0.489,0.0,49,BBC
